2025-02-11 14:35:32.879 MSK [16] LOG:  starting PostgreSQL 15.1 (Debian 15.1-1.pgdg110+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 10.2.1-6) 10.2.1 20210110, 64-bit
2025-02-11 14:35:32.881 MSK [16] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2025-02-11 14:35:32.881 MSK [16] LOG:  listening on IPv6 address "::", port 5432
2025-02-11 14:35:32.884 MSK [16] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
2025-02-11 14:35:32.896 MSK [16] LOG:  could not open usermap file "/var/lib/postgresql/data/pg_ident.conf": No such file or directory
2025-02-11 14:35:32.902 MSK [41] LOG:  database system was shut down at 2025-02-10 08:52:25 MSK
2025-02-11 14:35:32.946 MSK [44] WARNING:  archive_mode enabled, yet archiving is not configured
2025-02-11 14:35:32.946 MSK [16] LOG:  database system is ready to accept connections
2025-02-11 14:35:47.998 MSK [52] WARNING:  database "ptdev" has a collation version mismatch
2025-02-11 14:35:47.998 MSK [52] DETAIL:  The database was created using collation version 2.36, but the operating system provides version 2.31.
2025-02-11 14:35:47.998 MSK [52] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE ptdev REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-02-11 14:36:03.015 MSK [54] WARNING:  database "template1" has a collation version mismatch
2025-02-11 14:36:03.015 MSK [54] DETAIL:  The database was created using collation version 2.36, but the operating system provides version 2.31.
2025-02-11 14:36:03.015 MSK [54] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE template1 REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-02-11 14:36:18.008 MSK [56] WARNING:  database "db_customers" has a collation version mismatch
2025-02-11 14:36:18.008 MSK [56] DETAIL:  The database was created using collation version 2.36, but the operating system provides version 2.31.
2025-02-11 14:36:18.008 MSK [56] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE db_customers REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-02-11 14:36:32.989 MSK [59] WARNING:  database "postgres" has a collation version mismatch
2025-02-11 14:36:32.989 MSK [59] DETAIL:  The database was created using collation version 2.36, but the operating system provides version 2.31.
2025-02-11 14:36:32.989 MSK [59] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-02-11 14:36:33.004 MSK [44] WARNING:  archive_mode enabled, yet archiving is not configured
2025-02-11 14:36:47.996 MSK [62] WARNING:  database "ptdev" has a collation version mismatch
2025-02-11 14:36:47.996 MSK [62] DETAIL:  The database was created using collation version 2.36, but the operating system provides version 2.31.
2025-02-11 14:36:47.996 MSK [62] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE ptdev REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-02-11 14:37:02.994 MSK [64] WARNING:  database "template1" has a collation version mismatch
2025-02-11 14:37:02.994 MSK [64] DETAIL:  The database was created using collation version 2.36, but the operating system provides version 2.31.
2025-02-11 14:37:02.994 MSK [64] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE template1 REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-02-11 14:37:17.991 MSK [65] WARNING:  database "db_customers" has a collation version mismatch
2025-02-11 14:37:17.991 MSK [65] DETAIL:  The database was created using collation version 2.36, but the operating system provides version 2.31.
2025-02-11 14:37:17.991 MSK [65] HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE db_customers REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-02-11 14:37:32.990 MSK [66] WARNING:  database "postgres" has a collation version mismatch
